video_t,wall_time,author,chat_name,text,sentiment,source_layer,current_performer,caption_window,audience
2121.0,2026-08-17 19:50:07,@JimboTheComic,,Don’t burn Shane he’s my hero,positive,vader,Bashar,"Now, uh, sorry. Uh, do you have a dog, Miss? That doesn't help me in this moment of despair. Oh, yeah. Uh, recently I had a young woman come to my house and she mentioned, she's like, ""Hey, I went to the bathroom and I noticed you don't have any hand towels for drying up your hands when you wash your hands."" And I",true
2125.0,2026-08-17 19:50:11,@FrankieD-mj3ew,,if you're looking for KDE,neutral,vader,Bashar,"sorry. Uh, do you have a dog, Miss? That doesn't help me in this moment of despair. Oh, yeah. Uh, recently I had a young woman come to my house and she mentioned, she's like, ""Hey, I went to the bathroom and I noticed you don't have any hand towels for drying up your hands when you wash your hands."" And I was like, ""Yeah, because all the men in my house, we this is how we dry off.",true
2127.0,2026-08-17 19:50:13,@JimboTheComic,,He’s taught me everything I know ,neutral,vader,Bashar,"doesn't help me in this moment of despair. Oh, yeah. Uh, recently I had a young woman come to my house and she mentioned, she's like, ""Hey, I went to the bathroom and I noticed you don't have any hand towels for drying up your hands when you wash your hands."" And I was like, ""Yeah, because all the men in my house, we this is how we dry off. We're washing our hands is what I'm",true
2132.0,2026-08-17 19:50:18,@JimboTheComic,,About playing with my balls ,positive,vader,Bashar,"woman come to my house and she mentioned, she's like, ""Hey, I went to the bathroom and I noticed you don't have any hand towels for drying up your hands when you wash your hands."" And I was like, ""Yeah, because all the men in my house, we this is how we dry off. We're washing our hands is what I'm saying. And uh she's gonna be coming over soon. So, I had to shave my soap.",true
2136.0,2026-08-17 19:50:22,@z28diablo,,Does he know he doesnt have to eat the mic?,neutral,vader,Bashar,"the bathroom and I noticed you don't have any hand towels for drying up your hands when you wash your hands."" And I was like, ""Yeah, because all the men in my house, we this is how we dry off. We're washing our hands is what I'm saying. And uh she's gonna be coming over soon. So, I had to shave my soap. >> So, it looks like we're washing our",true
2137.0,2026-08-17 19:50:23,@matisari7982,,you need a better hero Jimbo,positive,vader,Bashar,"the bathroom and I noticed you don't have any hand towels for drying up your hands when you wash your hands."" And I was like, ""Yeah, because all the men in my house, we this is how we dry off. We're washing our hands is what I'm saying. And uh she's gonna be coming over soon. So, I had to shave my soap. >> So, it looks like we're washing our",true
2138.0,2026-08-17 19:50:24,@I_AM_VISION_ICONIC,,you definitely :pile_of_poo: and don't wipe :face_with_tears_of_joy::skull:,positive,vader,Bashar,"have any hand towels for drying up your hands when you wash your hands."" And I was like, ""Yeah, because all the men in my house, we this is how we dry off. We're washing our hands is what I'm saying. And uh she's gonna be coming over soon. So, I had to shave my soap. >> So, it looks like we're washing our hands. We're not washing our hands.",true
2139.0,2026-08-17 19:50:25,@S2P999,,DONT QUIT YOUR DAY JOB,neutral,vader,Bashar,"have any hand towels for drying up your hands when you wash your hands."" And I was like, ""Yeah, because all the men in my house, we this is how we dry off. We're washing our hands is what I'm saying. And uh she's gonna be coming over soon. So, I had to shave my soap. >> So, it looks like we're washing our hands. We're not washing our hands.",true
2140.0,2026-08-17 19:50:26,@LifesAScript,,He can be burnt and our hero at the same time,positive,vader,Bashar,"have any hand towels for drying up your hands when you wash your hands."" And I was like, ""Yeah, because all the men in my house, we this is how we dry off. We're washing our hands is what I'm saying. And uh she's gonna be coming over soon. So, I had to shave my soap. >> So, it looks like we're washing our hands. We're not washing our hands. You guys, you're not giving me enough.",true
2144.0,2026-08-17 19:50:30,@CarlCramer88,,That’s the voice of a guy who gets pegged every night,neutral,vader,Bashar,"was like, ""Yeah, because all the men in my house, we this is how we dry off. We're washing our hands is what I'm saying. And uh she's gonna be coming over soon. So, I had to shave my soap. >> So, it looks like we're washing our hands. We're not washing our hands. You guys, you're not giving me enough. You're listening now, which is nice for the next person. You guys are going to",true
2149.0,2026-08-17 19:50:35,@rugascombatanalysis4049,,He look like high school squidward,positive,vader,Bashar,"saying. And uh she's gonna be coming over soon. So, I had to shave my soap. >> So, it looks like we're washing our hands. We're not washing our hands. You guys, you're not giving me enough. You're listening now, which is nice for the next person. You guys are going to love little me. He's handsome. [laughter] Very handsome,",true
2153.0,2026-08-17 19:50:39,@Stillear,,"if Shane says he's pulling out his ""sledgeomatic"" don't watch",neutral,vader,Bashar,"over soon. So, I had to shave my soap. >> So, it looks like we're washing our hands. We're not washing our hands. You guys, you're not giving me enough. You're listening now, which is nice for the next person. You guys are going to love little me. He's handsome. [laughter] Very handsome, man. This is long as 5 minutes of my",true
2159.0,2026-08-17 19:50:45,@S2P999,,trump is my hero,positive,vader,Bashar,"hands. We're not washing our hands. You guys, you're not giving me enough. You're listening now, which is nice for the next person. You guys are going to love little me. He's handsome. [laughter] Very handsome, man. This is long as 5 minutes of my life. [laughter] Thank goodness. Um, I will say Gina already mentioned it.",true
2162.0,2026-08-17 19:50:48,@FrankieD-mj3ew,,if you're looking for laughs you would be better off bf,positive,vader,Bashar,"You're listening now, which is nice for the next person. You guys are going to love little me. He's handsome. [laughter] Very handsome, man. This is long as 5 minutes of my life. [laughter] Thank goodness. Um, I will say Gina already mentioned it. Tomorrow though, Tuesday, we go to Vibe and Kihei and we do comedy. It's my",true
2164.0,2026-08-17 19:50:50,@S.D.L-m1j,,Like a martyr..lol,positive,vader,Bashar,"the next person. You guys are going to love little me. He's handsome. [laughter] Very handsome, man. This is long as 5 minutes of my life. [laughter] Thank goodness. Um, I will say Gina already mentioned it. Tomorrow though, Tuesday, we go to Vibe and Kihei and we do comedy. It's my birthday. You should all come out. And",true
2165.0,2026-08-17 19:50:51,@ONWARD24seven,,I wonder what that MIC smells like ?,positive,vader,Bashar,"the next person. You guys are going to love little me. He's handsome. [laughter] Very handsome, man. This is long as 5 minutes of my life. [laughter] Thank goodness. Um, I will say Gina already mentioned it. Tomorrow though, Tuesday, we go to Vibe and Kihei and we do comedy. It's my birthday. You should all come out. And",true
2166.0,2026-08-17 19:50:52,@matisari7982,,@s2p999 this is his only job,neutral,vader,Bashar,"love little me. He's handsome. [laughter] Very handsome, man. This is long as 5 minutes of my life. [laughter] Thank goodness. Um, I will say Gina already mentioned it. Tomorrow though, Tuesday, we go to Vibe and Kihei and we do comedy. It's my birthday. You should all come out. And the tradition on a comedian's birthday",true
2166.0,2026-08-17 19:50:52,@LifesAScript,,"Lmao, how to cheat on your right hand with your left hand? @Jimbo",positive,vader,Bashar,"love little me. He's handsome. [laughter] Very handsome, man. This is long as 5 minutes of my life. [laughter] Thank goodness. Um, I will say Gina already mentioned it. Tomorrow though, Tuesday, we go to Vibe and Kihei and we do comedy. It's my birthday. You should all come out. And the tradition on a comedian's birthday",true
2171.0,2026-08-17 19:50:57,@HanzSygnal,,colombia drug lords guy nephew,neutral,vader,Bashar,"He's handsome. [laughter] Very handsome, man. This is long as 5 minutes of my life. [laughter] Thank goodness. Um, I will say Gina already mentioned it. Tomorrow though, Tuesday, we go to Vibe and Kihei and we do comedy. It's my birthday. You should all come out. And the tradition on a comedian's birthday is the other comedians will write jokes where they roast me. But not too bad cuz I am sensitive. I am sensitive. So,",true
2173.0,2026-08-17 19:50:59,@MissTessaMarie21,,haha..I totally agree..longest 5 mins EVER,neutral,vader,Bashar,"man. This is long as 5 minutes of my life. [laughter] Thank goodness. Um, I will say Gina already mentioned it. Tomorrow though, Tuesday, we go to Vibe and Kihei and we do comedy. It's my birthday. You should all come out. And the tradition on a comedian's birthday is the other comedians will write jokes where they roast me. But not too bad cuz I am sensitive. I am sensitive. So, they'll roast me lightly or maybe tell",true
2177.0,2026-08-17 19:51:03,@pijinFPS,,not allowed within 100 feet of a funeral home,negative,vader,Bashar,"life. [laughter] Thank goodness. Um, I will say Gina already mentioned it. Tomorrow though, Tuesday, we go to Vibe and Kihei and we do comedy. It's my birthday. You should all come out. And the tradition on a comedian's birthday is the other comedians will write jokes where they roast me. But not too bad cuz I am sensitive. I am sensitive. So, they'll roast me lightly or maybe tell my own jokes. Bye. Tomorrow. Kihei. See you all there. Thank you, Gina, for",true
2181.0,2026-08-17 19:51:07,@I_AM_VISION_ICONIC,,plz God don't let this man procreate :skull::face_with_tears_of_joy:,positive,vader,Shane Nelson,"Tomorrow though, Tuesday, we go to Vibe and Kihei and we do comedy. It's my birthday. You should all come out. And the tradition on a comedian's birthday is the other comedians will write jokes where they roast me. But not too bad cuz I am sensitive. I am sensitive. So, they'll roast me lightly or maybe tell my own jokes. Bye. Tomorrow. Kihei. See you all there. Thank you, Gina, for doing this. Aloha. My name is Shane Alison. Goodbye.",true
2181.0,2026-08-17 19:51:07,@FrankieD-mj3ew,,ha.bimh,neutral,vader,Shane Nelson,"Tomorrow though, Tuesday, we go to Vibe and Kihei and we do comedy. It's my birthday. You should all come out. And the tradition on a comedian's birthday is the other comedians will write jokes where they roast me. But not too bad cuz I am sensitive. I am sensitive. So, they'll roast me lightly or maybe tell my own jokes. Bye. Tomorrow. Kihei. See you all there. Thank you, Gina, for doing this. Aloha. My name is Shane Alison. Goodbye.",true
2183.0,2026-08-17 19:51:09,@JimboTheComic,,I love a good roast ,positive,vader,Shane Nelson,"and Kihei and we do comedy. It's my birthday. You should all come out. And the tradition on a comedian's birthday is the other comedians will write jokes where they roast me. But not too bad cuz I am sensitive. I am sensitive. So, they'll roast me lightly or maybe tell my own jokes. Bye. Tomorrow. Kihei. See you all there. Thank you, Gina, for doing this. Aloha. My name is Shane Alison. Goodbye. What's that?",true
2188.0,2026-08-17 19:51:14,@S2P999,,well he's not very good at his job then,negative,vader,Shane Nelson,"is the other comedians will write jokes where they roast me. But not too bad cuz I am sensitive. I am sensitive. So, they'll roast me lightly or maybe tell my own jokes. Bye. Tomorrow. Kihei. See you all there. Thank you, Gina, for doing this. Aloha. My name is Shane Alison. Goodbye. What's that? >> My dog Shane Nelson. Ladies and gentlemen,",true
2189.0,2026-08-17 19:51:15,@ineverlutes,,pijin lmao,positive,vader,Shane Nelson,"where they roast me. But not too bad cuz I am sensitive. I am sensitive. So, they'll roast me lightly or maybe tell my own jokes. Bye. Tomorrow. Kihei. See you all there. Thank you, Gina, for doing this. Aloha. My name is Shane Alison. Goodbye. What's that? >> My dog Shane Nelson. Ladies and gentlemen, >> how old are you turning?",true
2195.0,2026-08-17 19:51:21,@albannach7943,,honestly jimbo how many of these people have you hooked up with?,positive,vader,Shane Nelson,"my own jokes. Bye. Tomorrow. Kihei. See you all there. Thank you, Gina, for doing this. Aloha. My name is Shane Alison. Goodbye. What's that? >> My dog Shane Nelson. Ladies and gentlemen, >> how old are you turning? >> 34. >> 34. That's a number that nobody cares about, right? 34 is",true
2202.0,2026-08-17 19:51:28,@alisonwayland6057,,sensative.... the softer side of comedy,positive,vader,Shane Nelson,"Alison. Goodbye. What's that? >> My dog Shane Nelson. Ladies and gentlemen, >> how old are you turning? >> 34. >> 34. That's a number that nobody cares about, right? 34 is >> one of the least It's her first unimportant birthday. >> 30 32 is actually pretty important. All right. Uh, so it's his birthday",true
2202.0,2026-08-17 19:51:28,@I_AM_VISION_ICONIC,,why would you wash your hands it looks like you don't wipe?,positive,vader,Shane Nelson,"Alison. Goodbye. What's that? >> My dog Shane Nelson. Ladies and gentlemen, >> how old are you turning? >> 34. >> 34. That's a number that nobody cares about, right? 34 is >> one of the least It's her first unimportant birthday. >> 30 32 is actually pretty important. All right. Uh, so it's his birthday",true
2204.0,2026-08-17 19:51:30,@allisonnicole55,,He was the best one so far ,positive,vader,Shane Nelson,"What's that? >> My dog Shane Nelson. Ladies and gentlemen, >> how old are you turning? >> 34. >> 34. That's a number that nobody cares about, right? 34 is >> one of the least It's her first unimportant birthday. >> 30 32 is actually pretty important. All right. Uh, so it's his birthday tomorrow. Check him out. Vive.",true
2204.0,2026-08-17 19:51:30,@FrankieD-mj3ew,,the hot cause,neutral,vader,Shane Nelson,"What's that? >> My dog Shane Nelson. Ladies and gentlemen, >> how old are you turning? >> 34. >> 34. That's a number that nobody cares about, right? 34 is >> one of the least It's her first unimportant birthday. >> 30 32 is actually pretty important. All right. Uh, so it's his birthday tomorrow. Check him out. Vive.",true
2207.0,2026-08-17 19:51:33,@McMisfit,,happy bday,positive,vader,Shane Nelson,"gentlemen, >> how old are you turning? >> 34. >> 34. That's a number that nobody cares about, right? 34 is >> one of the least It's her first unimportant birthday. >> 30 32 is actually pretty important. All right. Uh, so it's his birthday tomorrow. Check him out. Vive. >> We're going to all give him little roast jokes. [applause] Or one thing Shane",true
2207.0,2026-08-17 19:51:33,@pijinFPS,,Chino had a dildo shaped after him. not his dick. him,positive,vader,Shane Nelson,"gentlemen, >> how old are you turning? >> 34. >> 34. That's a number that nobody cares about, right? 34 is >> one of the least It's her first unimportant birthday. >> 30 32 is actually pretty important. All right. Uh, so it's his birthday tomorrow. Check him out. Vive. >> We're going to all give him little roast jokes. [applause] Or one thing Shane",true
2208.0,2026-08-17 19:51:34,@MissTessaMarie21,,no one cares about your birthday after you hit 21,negative,vader,Shane Nelson,">> how old are you turning? >> 34. >> 34. That's a number that nobody cares about, right? 34 is >> one of the least It's her first unimportant birthday. >> 30 32 is actually pretty important. All right. Uh, so it's his birthday tomorrow. Check him out. Vive. >> We're going to all give him little roast jokes. [applause] Or one thing Shane",true
2212.0,2026-08-17 19:51:38,@Stillear,,Shane was funniest so far :hundred_points:,positive,vader,Shane Nelson,">> 34. That's a number that nobody cares about, right? 34 is >> one of the least It's her first unimportant birthday. >> 30 32 is actually pretty important. All right. Uh, so it's his birthday tomorrow. Check him out. Vive. >> We're going to all give him little roast jokes. [applause] Or one thing Shane loves is when you tell his jokes back to him. He loves that [ __ ] Most comics if",true
2215.0,2026-08-17 19:51:41,@z28diablo,,Happy Retirement,positive,vader,Shane Nelson,"about, right? 34 is >> one of the least It's her first unimportant birthday. >> 30 32 is actually pretty important. All right. Uh, so it's his birthday tomorrow. Check him out. Vive. >> We're going to all give him little roast jokes. [applause] Or one thing Shane loves is when you tell his jokes back to him. He loves that [ __ ] Most comics if you try doing that to him, they're like,",true
2217.0,2026-08-17 19:51:43,@S2P999,,TELL A BLACK JOKE,positive,vader,Shane Nelson,">> one of the least It's her first unimportant birthday. >> 30 32 is actually pretty important. All right. Uh, so it's his birthday tomorrow. Check him out. Vive. >> We're going to all give him little roast jokes. [applause] Or one thing Shane loves is when you tell his jokes back to him. He loves that [ __ ] Most comics if you try doing that to him, they're like, ""Shut the [ __ ] up."" But when he does it, it's for some reason he loves it. All",true
2220.0,2026-08-17 19:51:46,@rugascombatanalysis4049,,Shane shouldnt do this anymore ,neutral,vader,Shane Nelson,">> 30 32 is actually pretty important. All right. Uh, so it's his birthday tomorrow. Check him out. Vive. >> We're going to all give him little roast jokes. [applause] Or one thing Shane loves is when you tell his jokes back to him. He loves that [ __ ] Most comics if you try doing that to him, they're like, ""Shut the [ __ ] up."" But when he does it, it's for some reason he loves it. All right. All right. On deck is going to be",true
2222.0,2026-08-17 19:51:48,@FrankieD-mj3ew,,the hot sauce was :fire: though.,positive,phrase_or_manual,Shane Nelson,"right. Uh, so it's his birthday tomorrow. Check him out. Vive. >> We're going to all give him little roast jokes. [applause] Or one thing Shane loves is when you tell his jokes back to him. He loves that [ __ ] Most comics if you try doing that to him, they're like, ""Shut the [ __ ] up."" But when he does it, it's for some reason he loves it. All right. All right. On deck is going to be",true
2231.0,2026-08-17 19:51:57,@SirCreamsAlott,,shane had a natural poopface,positive,vader,Shane Nelson,"loves is when you tell his jokes back to him. He loves that [ __ ] Most comics if you try doing that to him, they're like, ""Shut the [ __ ] up."" But when he does it, it's for some reason he loves it. All right. All right. On deck is going to be >> Brady. Brady, you're on deck. Brady's on deck. Coming to the stage, little Shane.",true
2238.0,2026-08-17 19:52:04,@S.D.L-m1j,,crispy chicken bucket:chicken::grinning_squinting_face:,neutral,vader,Shane Nelson,"it's for some reason he loves it. All right. All right. On deck is going to be >> Brady. Brady, you're on deck. Brady's on deck. Coming to the stage, little Shane. No, that's mean. You're your own person. You have more hair. Not to quantify that",true
2243.0,2026-08-17 19:52:09,@I_AM_VISION_ICONIC,,BLACK JOKES NOW!!!!!,positive,vader,Shane Nelson,"it's for some reason he loves it. All right. All right. On deck is going to be >> Brady. Brady, you're on deck. Brady's on deck. Coming to the stage, little Shane. No, that's mean. You're your own person. You have more hair. Not to quantify that anybody's better or lesser than anybody, but if if this person came out of a time",true
2244.0,2026-08-17 19:52:10,@Mcloudification,,I come for the comedy I stay for the chat :grinning_face_with_smiling_eyes:,positive,vader,Shane Nelson,">> Brady. Brady, you're on deck. Brady's on deck. Coming to the stage, little Shane. No, that's mean. You're your own person. You have more hair. Not to quantify that anybody's better or lesser than anybody, but if if this person came out of a time",true
2249.0,2026-08-17 19:52:15,@z28diablo,,WE WANT THE CHAIR,positive,vader,Shane Nelson,">> Brady. Brady, you're on deck. Brady's on deck. Coming to the stage, little Shane. No, that's mean. You're your own person. You have more hair. Not to quantify that anybody's better or lesser than anybody, but if if this person came out of a time machine, you'd be like, ""Shane, you should stay longer."" Ladies and gentlemen, here Jackson May Bab.",true
2255.0,2026-08-17 19:52:21,@ONWARD24seven,,they should pass that mic :microphone: around at the next NFL games :american_football: forget the smelling salts :salt:,negative,vader,Shane Nelson,"mean. You're your own person. You have more hair. Not to quantify that anybody's better or lesser than anybody, but if if this person came out of a time machine, you'd be like, ""Shane, you should stay longer."" Ladies and gentlemen, here Jackson May Bab.",true
2256.0,2026-08-17 19:52:22,@CarlCramer88,,I’m just here for the comments,neutral,vader,Shane Nelson,"mean. You're your own person. You have more hair. Not to quantify that anybody's better or lesser than anybody, but if if this person came out of a time machine, you'd be like, ""Shane, you should stay longer."" Ladies and gentlemen, here Jackson May Bab.",true
2257.0,2026-08-17 19:52:23,@McMisfit,,mini Shane,neutral,vader,Shane Nelson,"more hair. Not to quantify that anybody's better or lesser than anybody, but if if this person came out of a time machine, you'd be like, ""Shane, you should stay longer."" Ladies and gentlemen, here Jackson May Bab. >> So, first of all, I've literally never",true
2258.0,2026-08-17 19:52:24,@pijinFPS,,carot bottom,neutral,vader,Shane Nelson,"more hair. Not to quantify that anybody's better or lesser than anybody, but if if this person came out of a time machine, you'd be like, ""Shane, you should stay longer."" Ladies and gentlemen, here Jackson May Bab. >> So, first of all, I've literally never",true
2258.0,2026-08-17 19:52:24,@ineverlutes,,can't wait to see his fart not poop face ,neutral,vader,Shane Nelson,"more hair. Not to quantify that anybody's better or lesser than anybody, but if if this person came out of a time machine, you'd be like, ""Shane, you should stay longer."" Ladies and gentlemen, here Jackson May Bab. >> So, first of all, I've literally never",true
2262.0,2026-08-17 19:52:28,@radiostarkilla21,,He put on weight during this set,neutral,vader,Shane Nelson,"anybody's better or lesser than anybody, but if if this person came out of a time machine, you'd be like, ""Shane, you should stay longer."" Ladies and gentlemen, here Jackson May Bab. >> So, first of all, I've literally never worn this color shirt before. >> And then Shane showed up in the exact",true
2262.0,2026-08-17 19:52:28,@S2P999,,IS THIS THE SAME GUY,neutral,vader,Shane Nelson,"anybody's better or lesser than anybody, but if if this person came out of a time machine, you'd be like, ""Shane, you should stay longer."" Ladies and gentlemen, here Jackson May Bab. >> So, first of all, I've literally never worn this color shirt before. >> And then Shane showed up in the exact",true
2265.0,2026-08-17 19:52:31,@BrandoKOmmando91,,Same dude ,neutral,vader,Shane Nelson,"machine, you'd be like, ""Shane, you should stay longer."" Ladies and gentlemen, here Jackson May Bab. >> So, first of all, I've literally never worn this color shirt before. >> And then Shane showed up in the exact same color. It was completely unplanned.",true
2268.0,2026-08-17 19:52:34,@JimboTheComic,,200 in the chat ,neutral,vader,Shane Nelson,"should stay longer."" Ladies and gentlemen, here Jackson May Bab. >> So, first of all, I've literally never worn this color shirt before. >> And then Shane showed up in the exact same color. It was completely unplanned. I",true
2269.0,2026-08-17 19:52:35,@FrankieD-mj3ew,,they are too scared to tell a black joke :grinning_squinting_face:,negative,vader,Shane Nelson,"should stay longer."" Ladies and gentlemen, here Jackson May Bab. >> So, first of all, I've literally never worn this color shirt before. >> And then Shane showed up in the exact same color. It was completely unplanned. I It legitimately was. He walked up. I",true
2269.0,2026-08-17 19:52:35,@HanzSygnal,,"""litteraly""",neutral,vader,Shane Nelson,"should stay longer."" Ladies and gentlemen, here Jackson May Bab. >> So, first of all, I've literally never worn this color shirt before. >> And then Shane showed up in the exact same color. It was completely unplanned. I It legitimately was. He walked up. I",true
2270.0,2026-08-17 19:52:36,@matisari7982,,lmao mini Shane :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,positive,vader,Shane Nelson,">> So, first of all, I've literally never worn this color shirt before. >> And then Shane showed up in the exact same color. It was completely unplanned. I It legitimately was. He walked up. I",true
2272.0,2026-08-17 19:52:38,@rugascombatanalysis4049,,Shane just got back on the stage wtf,negative,vader,Shane Nelson,">> So, first of all, I've literally never worn this color shirt before. >> And then Shane showed up in the exact same color. It was completely unplanned. I It legitimately was. He walked up. I went, ""Dude, what are you doing?""",true
2273.0,2026-08-17 19:52:39,@alisonwayland6057,,when is the cair doing it's set?,neutral,vader,Shane Nelson,">> So, first of all, I've literally never worn this color shirt before. >> And then Shane showed up in the exact same color. It was completely unplanned. I It legitimately was. He walked up. I went, ""Dude, what are you doing?""",true
2275.0,2026-08-17 19:52:41,@LifesAScript,,Shane 15 years younger,neutral,vader,Shane Nelson,">> So, first of all, I've literally never worn this color shirt before. >> And then Shane showed up in the exact same color. It was completely unplanned. I It legitimately was. He walked up. I went, ""Dude, what are you doing?"" >> No, Shane told me to roast him for his",true
2276.0,2026-08-17 19:52:42,@JimboTheComic,,LIT,neutral,vader,Shane Nelson,">> So, first of all, I've literally never worn this color shirt before. >> And then Shane showed up in the exact same color. It was completely unplanned. I It legitimately was. He walked up. I went, ""Dude, what are you doing?"" >> No, Shane told me to roast him for his",true
2276.0,2026-08-17 19:52:42,@CarlCramer88,,The last guy that was on stage is this his brother,neutral,vader,Shane Nelson,">> So, first of all, I've literally never worn this color shirt before. >> And then Shane showed up in the exact same color. It was completely unplanned. I It legitimately was. He walked up. I went, ""Dude, what are you doing?"" >> No, Shane told me to roast him for his",true
2279.0,2026-08-17 19:52:45,@S.D.L-m1j,,Oh they come in two sizes:rolling_on_the_floor_laughing:,neutral,vader,Shane Nelson,">> So, first of all, I've literally never worn this color shirt before. >> And then Shane showed up in the exact same color. It was completely unplanned. I It legitimately was. He walked up. I went, ""Dude, what are you doing?"" >> No, Shane told me to roast him for his birthday.",true
2282.0,2026-08-17 19:52:48,@z28diablo,,thought I hit rewind ,neutral,vader,Shane Nelson,">> And then Shane showed up in the exact same color. It was completely unplanned. I It legitimately was. He walked up. I went, ""Dude, what are you doing?"" >> No, Shane told me to roast him for his birthday. And uh I feel like I can't.",true
2283.0,2026-08-17 19:52:49,@allisonnicole55,,I thought it was the same dude for a moment ,neutral,vader,Shane Nelson,">> And then Shane showed up in the exact same color. It was completely unplanned. I It legitimately was. He walked up. I went, ""Dude, what are you doing?"" >> No, Shane told me to roast him for his birthday. And uh I feel like I can't.",true
2283.0,2026-08-17 19:52:49,@S2P999,,I love a good black joke,positive,vader,Shane Nelson,">> And then Shane showed up in the exact same color. It was completely unplanned. I It legitimately was. He walked up. I went, ""Dude, what are you doing?"" >> No, Shane told me to roast him for his birthday. And uh I feel like I can't.",true
2292.0,2026-08-17 19:52:58,@ineverlutes,,"shane finally took that poop, boy shrunk ",neutral,vader,Shane Nelson,"It legitimately was. He walked up. I went, ""Dude, what are you doing?"" >> No, Shane told me to roast him for his birthday. And uh I feel like I can't. >> I would just be roasting myself, guys. >> All right, fine. Only Jimbo wanted to make fun of this.",true
2293.0,2026-08-17 19:52:59,@alisonwayland6057,,I hope chair wins again,positive,vader,Shane Nelson,"went, ""Dude, what are you doing?"" >> No, Shane told me to roast him for his birthday. And uh I feel like I can't. >> I would just be roasting myself, guys. >> All right, fine. Only Jimbo wanted to make fun of this. All right, I completely misbrand what",true
2296.0,2026-08-17 19:53:02,@FrankieD-mj3ew,,this guy AGAIN :grinning_squinting_face:,neutral,vader,Shane Nelson,"went, ""Dude, what are you doing?"" >> No, Shane told me to roast him for his birthday. And uh I feel like I can't. >> I would just be roasting myself, guys. >> All right, fine. Only Jimbo wanted to make fun of this. All right, I completely misbrand what tonight would be bucket-wise. So, I'm",true
2298.0,2026-08-17 19:53:04,@Stillear,,they're just rolling out clones now,neutral,vader,Shane Nelson,"birthday. And uh I feel like I can't. >> I would just be roasting myself, guys. >> All right, fine. Only Jimbo wanted to make fun of this. All right, I completely misbrand what tonight would be bucket-wise. So, I'm going to do a verbal bucket.",true
2298.0,2026-08-17 19:53:04,@jeffersonmcpherson3779,,Good momentum,positive,vader,Shane Nelson,"birthday. And uh I feel like I can't. >> I would just be roasting myself, guys. >> All right, fine. Only Jimbo wanted to make fun of this. All right, I completely misbrand what tonight would be bucket-wise. So, I'm going to do a verbal bucket.",true
2304.0,2026-08-17 19:53:10,@I_AM_VISION_ICONIC,,shane definitely snorts Cane:face_with_tears_of_joy::skull::smiling_face_with_horns:,positive,vader,Shane Nelson,"And uh I feel like I can't. >> I would just be roasting myself, guys. >> All right, fine. Only Jimbo wanted to make fun of this. All right, I completely misbrand what tonight would be bucket-wise. So, I'm going to do a verbal bucket. >> I don't even really know what that means, but if you guys have any suggestions that are listening right",true
2305.0,2026-08-17 19:53:11,@HollywoodStar2026,,"If one of them lost the hat, they may grow apart",negative,vader,Shane Nelson,"And uh I feel like I can't. >> I would just be roasting myself, guys. >> All right, fine. Only Jimbo wanted to make fun of this. All right, I completely misbrand what tonight would be bucket-wise. So, I'm going to do a verbal bucket. >> I don't even really know what that means, but if you guys have any suggestions that are listening right",true
2305.0,2026-08-17 19:53:11,@McMisfit,,sing for us trans avril levigne,neutral,vader,Shane Nelson,"And uh I feel like I can't. >> I would just be roasting myself, guys. >> All right, fine. Only Jimbo wanted to make fun of this. All right, I completely misbrand what tonight would be bucket-wise. So, I'm going to do a verbal bucket. >> I don't even really know what that means, but if you guys have any suggestions that are listening right",true
2305.0,2026-08-17 19:53:11,@jeffersonmcpherson3779,,:face_with_rolling_eyes:,neutral,vader,Shane Nelson,"And uh I feel like I can't. >> I would just be roasting myself, guys. >> All right, fine. Only Jimbo wanted to make fun of this. All right, I completely misbrand what tonight would be bucket-wise. So, I'm going to do a verbal bucket. >> I don't even really know what that means, but if you guys have any suggestions that are listening right",true
2308.0,2026-08-17 19:53:14,@ONWARD24seven,,Wierd AL had twins!!! wtf,negative,vader,Shane Nelson,">> I would just be roasting myself, guys. >> All right, fine. Only Jimbo wanted to make fun of this. All right, I completely misbrand what tonight would be bucket-wise. So, I'm going to do a verbal bucket. >> I don't even really know what that means, but if you guys have any suggestions that are listening right now, throw them out right now.",true
2308.0,2026-08-17 19:53:14,@rugascombatanalysis4049,,Yall gonna let shane bomb again ,negative,vader,Shane Nelson,">> I would just be roasting myself, guys. >> All right, fine. Only Jimbo wanted to make fun of this. All right, I completely misbrand what tonight would be bucket-wise. So, I'm going to do a verbal bucket. >> I don't even really know what that means, but if you guys have any suggestions that are listening right now, throw them out right now.",true
2313.0,2026-08-17 19:53:19,@HanzSygnal,,the juggalos don't even claim this guy,neutral,vader,Shane Nelson,"All right, I completely misbrand what tonight would be bucket-wise. So, I'm going to do a verbal bucket. >> I don't even really know what that means, but if you guys have any suggestions that are listening right now, throw them out right now. >> Say all the names. >> Wrestling. >> Wrestling. >> Special Olympic wrestling.",true
2316.0,2026-08-17 19:53:22,@S2P999,,throw you out right now sheesh,neutral,vader,Shane Nelson,"tonight would be bucket-wise. So, I'm going to do a verbal bucket. >> I don't even really know what that means, but if you guys have any suggestions that are listening right now, throw them out right now. >> Say all the names. >> Wrestling. >> Wrestling. >> Special Olympic wrestling. >> Oh, yeah. >> Special Olympic wrestling.",true
